wavelength	B1	B2	B3	B4
754	0.004618016	0.006347518	0.005177799	0.037955349
755	0.005507068	0.006393257	0.005179609	0.045871946
756	0.00541004	0.006478267	0.004960628	0.115509331
757	0.005313011	0.006563278	0.004741647	0.185146716
758	0.005215983	0.006648288	0.004522666	0.254784101
759	0.005118954	0.006733299	0.004303685	0.324421486
760	0.005021926	0.006818309	0.004084704	0.394058871
761	0.004826524	0.007501875	0.004055815	0.512985695
762	0.004631122	0.008185442	0.004026925	0.631912519
763	0.00443572	0.008869008	0.003998036	0.750839343
764	0.004240318	0.009552575	0.003969146	0.869766167
765	0.004044916	0.010236141	0.003940257	0.98869299
766	0.003786614	0.010103621	0.004111222	0.986345338
767	0.003528313	0.009971101	0.004282187	0.983997686
768	0.003270011	0.00983858	0.004453153	0.981650034
769	0.00301171	0.00970606	0.004624118	0.979302381
770	0.002753408	0.00957354	0.004795083	0.976954729
771	0.002433116	0.00871292	0.005047808	0.980606618
772	0.002112824	0.0078523	0.005300533	0.984258507
773	0.001792533	0.00699168	0.005553258	0.987910395
774	0.001472241	0.00613106	0.005805983	0.991562284
775	0.001151949	0.00527044	0.006058708	0.995214173
776	0.001042626	0.004993253	0.006049843	0.995193715
777	0.000933304	0.004716066	0.006040978	0.995173258
778	0.000823981	0.004438878	0.006032114	0.995152801
779	0.000714659	0.004161691	0.006023249	0.995132344
780	0.000605336	0.003884504	0.006014384	0.995111887
781	0.000580118	0.003752778	0.005828951	0.995000131
782	0.000554899	0.003621051	0.005643518	0.994888376
783	0.000529681	0.003489325	0.005458085	0.994776621
784	0.000504462	0.003357598	0.005272652	0.994664865
785	0.000479244	0.003225872	0.005087219	0.99455311
786	0.000469793	0.003104126	0.00494717	0.993974344
787	0.000460343	0.00298238	0.004807121	0.993395579
788	0.000450892	0.002860633	0.004667072	0.992816813
789	0.000441442	0.002738887	0.004527023	0.992238047
790	0.000431991	0.002617141	0.004386974	0.991659281
791	0.000436522	0.00253818	0.004384572	0.992895035
792	0.000441053	0.002459219	0.00438217	0.994130789
793	0.000445585	0.002380257	0.004379768	0.995366543
794	0.000450116	0.002301296	0.004377366	0.996602298
795	0.000454647	0.002222335	0.004374964	0.997838052
796	0.000481733	0.002116218	0.004588965	0.997915123
797	0.000508818	0.002010101	0.004802966	0.997992195
798	0.000535904	0.001903983	0.005016966	0.998069267
799	0.000562989	0.001797866	0.005230967	0.998146339
800	0.000590075	0.001691749	0.005444968	0.998223411
801	0.00069034	0.001583264	0.005668233	0.998578729
802	0.000790604	0.001474779	0.005891499	0.998934046
803	0.000890869	0.001366295	0.006114764	0.999289364
804	0.000991133	0.00125781	0.00633803	0.999644682
805	0.001091398	0.001149325	0.006561295	1
806	0.001438543	0.001120808	0.006387087	0.999680282
807	0.001785688	0.001092291	0.006212878	0.999360565
808	0.002132833	0.001063773	0.00603867	0.999040847
809	0.002479978	0.001035256	0.005864461	0.998721129
810	0.002827123	0.001006739	0.005690253	0.998401412
811	0.003652739	0.001012267	0.005578096	0.996536211
812	0.004478356	0.001017795	0.005465938	0.994671011
813	0.005303972	0.001023324	0.005353781	0.99280581
814	0.006129589	0.001028852	0.005241623	0.99094061
815	0.006955205	0.00103438	0.005129466	0.989075409
816	0.007199113	0.001053863	0.005143706	0.983222351
817	0.00744302	0.001073346	0.005157947	0.977369294
818	0.007686928	0.001092828	0.005172187	0.971516236
819	0.007930835	0.001112311	0.005186428	0.965663179
820	0.008174743	0.001131794	0.005200668	0.959810121
821	0.007658917	0.001182793	0.005005735	0.958630934
822	0.007143091	0.001233791	0.004810803	0.957451746
823	0.006627265	0.00128479	0.00461587	0.956272559
824	0.006111439	0.001335788	0.004420938	0.955093372
825	0.005595613	0.001386787	0.004226005	0.953914184
826	0.005336832	0.00148757	0.004018542	0.959504062
827	0.005078051	0.001588353	0.003811079	0.965093939
828	0.004819271	0.001689137	0.003603616	0.970683816
829	0.00456049	0.00178992	0.003396153	0.976273693
830	0.004301709	0.001890703	0.00318869	0.981863571
831	0.004080411	0.002038493	0.003138118	0.982051797
832	0.003859114	0.002186282	0.003087545	0.982240023
833	0.003637816	0.002334072	0.003036973	0.98242825
834	0.003416519	0.002481861	0.0029864	0.982616476
835	0.003195221	0.002629651	0.002935828	0.982804703
836	0.003045391	0.002729421	0.003015994	0.982595059
837	0.002895561	0.002829191	0.003096161	0.982385415
838	0.00274573	0.002928961	0.003176327	0.982175771
839	0.0025959	0.003028731	0.003256494	0.981966127
840	0.00244607	0.003128501	0.00333666	0.981756483
841	0.002419015	0.003194903	0.003358822	0.980497189
842	0.002391959	0.003261305	0.003380985	0.979237895
843	0.002364904	0.003327708	0.003403147	0.977978601
844	0.002337848	0.00339411	0.00342531	0.976719307
845	0.002310793	0.003460512	0.003447472	0.975460013
846	0.002453686	0.003566765	0.003287016	0.974703508
847	0.002596578	0.003673018	0.00312656	0.973947004
848	0.002739471	0.00377927	0.002966103	0.973190499
849	0.002882363	0.003885523	0.002805647	0.972433995
850	0.003025256	0.003991776	0.002645191	0.97167749
851	0.003305635	0.003754231	0.002531642	0.966757572
852	0.003586014	0.003516687	0.002418092	0.961837654
853	0.003866393	0.003279142	0.002304543	0.956917735
854	0.004146772	0.003041598	0.002190993	0.951997817
855	0.004427151	0.002804053	0.002077444	0.947077899
856	0.00442298	0.002449751	0.00205262	0.943489872
857	0.004418808	0.002095449	0.002027795	0.939901845
858	0.004414637	0.001741147	0.002002971	0.936313818
859	0.004410465	0.001386845	0.001978146	0.932725791
860	0.004406294	0.001032543	0.001953322	0.929137765
861	0.004061643	0.000920921	0.001946576	0.92466376
862	0.003716992	0.000809298	0.001939829	0.920189756
863	0.00337234	0.000697676	0.001933083	0.915715751
864	0.003027689	0.000586053	0.001926336	0.911241747
865	0.002683038	0.000474431	0.00191959	0.906767742
866	0.002474674	0.00045063	0.00197912	0.902051745
867	0.00226631	0.000426829	0.002038649	0.897335748
868	0.002057946	0.000403027	0.002098179	0.892619751
869	0.001849582	0.000379226	0.002157708	0.887903755
870	0.001641218	0.000355425	0.002217238	0.883187758
871	0.001590017	0.00034549	0.002376157	0.876934627
872	0.001538817	0.000335556	0.002535075	0.870681497
873	0.001487616	0.000325621	0.002693994	0.864428366
874	0.001436416	0.000315687	0.002852912	0.858175235
875	0.001385215	0.000305752	0.003011831	0.851922105
876	0.001419025	0.000306288	0.003434121	0.846228459
877	0.001452835	0.000306825	0.003856412	0.840534813
878	0.001486645	0.000307361	0.004278702	0.834841167
879	0.001520455	0.000307898	0.004700993	0.829147522
880	0.001554265	0.000308434	0.005123283	0.823453876
881	0.001490052	0.000325696	0.004885791	0.811850214
882	0.001425838	0.000342958	0.004648299	0.800246553
883	0.001361625	0.00036022	0.004410806	0.788642892
884	0.001297411	0.000377482	0.004173314	0.777039231
885	0.001233198	0.000394744	0.003935822	0.765435569
